sample_token,low_vis_object_count,mining_reason,safety_priority
4711bcd34644420da8bc77163431888e,58,low_visibility,critical
965f6af5a92449348409029a5f048a38,57,low_visibility,critical
a34fabc7aa674713b71f98ec541eb2d4,56,low_visibility,critical
c844bf5a9f2243ff8f4bf2c85fe218ff,54,low_visibility,critical
378a3a3e9af346308ab9dff8ced46d9c,53,low_visibility,critical
b26e791522294bec90f86fd72226e35c,51,low_visibility,critical
fedfb3a6cb804635a0f47143f9ca8d6f,49,low_visibility,critical
bf2938e43c6f487497cda76b51bfc406,46,low_visibility,critical
0cd661df01aa40c3bb3a773ba86f753a,46,low_visibility,critical
eef55c3b48f34d949959b45130ee293a,44,low_visibility,critical
a7acb150914b40bdad9a2dc4e657cbf9,44,low_visibility,critical
2ff86dc19c4644a1a88ce5ba848f56e5,44,low_visibility,critical
c78067571d104caba7c568a847d56971,43,low_visibility,critical
023c4df2d451409881d8e6ea82f14704,42,low_visibility,critical
9813c23a5f1448b09bb7910fea9baf20,41,low_visibility,critical
c235638ed66145988d17f9d0601923f2,40,low_visibility,critical
cd21dbfc3bd749c7b10a5c42562e0c42,40,low_visibility,critical
ff007cb7b78443e6887401d694f0d369,40,low_visibility,critical
c923fe08b2ff4e27975d2bf30934383b,39,low_visibility,critical
f1e3d9d08f044c439ce86a2d6fcca57b,38,low_visibility,critical
bc3c8a953f6b4dcdb77b521d89f3d9d5,38,low_visibility,critical
be99ffc878b24aca8956bbb4e0f97d0c,38,low_visibility,critical
2afb9d32310e4546a71cbe432911eca2,38,low_visibility,critical
4246e57f018745c9b2bc68feb3d71b58,38,low_visibility,critical
e0845f5322254dafadbbed75aaa07969,37,low_visibility,critical
4f545737bf3347fbbc9af60b0be9a963,37,low_visibility,critical
88449a5cb1644a199c1c11f6ac034867,37,low_visibility,critical
1e3d79dae62742a0ad64c91679863358,37,low_visibility,critical
2e024439286d469f8f743fe9266c0e56,37,low_visibility,critical
7626dde27d604ac28a0240bdd54eba7a,36,low_visibility,critical
b73152cab88f49d9ba195da81fde1809,35,low_visibility,critical
ba2491f55619445e9d2e472f39f3b01b,35,low_visibility,critical
6e004695af1549c398a52b5c95e22060,35,low_visibility,critical
5fda58ee3ae44ab9b4bbac7a2de66c27,34,low_visibility,critical
21342b260f964064855aa8ad1e741a22,34,low_visibility,critical
356d81f38dd9473ba590f39e266f54e5,32,low_visibility,critical
aa581aac963a4fad848ac11fe66e8637,31,low_visibility,critical
6aa6fa91e0d1492e812eb7e57c47df6e,31,low_visibility,critical
0d7263a5b8264cad996582d6219ef1f2,31,low_visibility,critical
39bc0a6b3692446d8ba3bde3d6a0774e,31,low_visibility,critical
b2e2ffeabf91451cb31a79649bfd95df,31,low_visibility,critical
8580e9a249b64b59bead9d80c0e13e8b,30,low_visibility,critical
5f3fc3c1d08b47cabc1bbca600abbfa8,30,low_visibility,critical
0402e40724984f3b833496067d46c771,30,low_visibility,critical
8017a35b9b5e476289a89bd098a4a1d1,30,low_visibility,critical
919e3c4cec934168a3152077a9adcbea,29,low_visibility,critical
7ff999a1242e4573a81dd3a6f0c158a2,29,low_visibility,critical
252b65dd79ce4712af1b898b64ea3b98,29,low_visibility,critical
9150678870764c1b87a649a25939c61b,29,low_visibility,critical
b6c420c3a5bd4a219b1cb82ee5ea0aa7,29,low_visibility,critical
06be0e3b665c44fa8d17d9f4770bdf9c,29,low_visibility,critical
8092909473464f80b9f791a4d31ddcb8,29,low_visibility,critical
8573a885a7cb41d185c05029eeb9a54e,29,low_visibility,critical
e174cb43655f49dab7ffa27b973670e3,29,low_visibility,critical
67e5f88901214f3aa03d68e028185e22,28,low_visibility,critical
91d9058720eb4c25a172236e14e11085,28,low_visibility,critical
521cde13efcc4f7cb5f93db99cce30f4,28,low_visibility,critical
f6ef25ab02c0483b9df411ed84873f41,28,low_visibility,critical
61d9340c5ad8418dafe7a4af1b96e6b9,27,low_visibility,critical
5c85640c10d9485c86bf6eb44778c002,27,low_visibility,critical
9a0a16d628ae41d1ab25c9cdfc66d6a1,27,low_visibility,critical
a19a80c905674faab7203a3a4e0f5246,27,low_visibility,critical
79937d5eae1d450499677a0dcffa210c,26,low_visibility,critical
9768a199e4884a0db50d015703efe969,26,low_visibility,critical
96d915e8b7e44bacba3c78e76a924e5c,26,low_visibility,critical
d7387fb5a21d40a990a5842cca61af1c,26,low_visibility,critical
576f17c305324ed7bf460f0110617355,26,low_visibility,critical
f77ef1c17cbf432587d705c88ce76b3b,26,low_visibility,critical
39586f9d59004284a7114a68825e8eec,25,low_visibility,critical
5f6cc6483988439a824cec99e28bb5b9,25,low_visibility,critical
df7066fa5f0d4b708982747cc3feed14,25,low_visibility,critical
6ff9723a60bf4e14b328b3b19f04dc32,25,low_visibility,critical
0e837c21890a4515874247ceb3dbf5c3,25,low_visibility,critical
5b03af7a953245b5a3b23191ed4da62a,24,low_visibility,critical
6af01b48aec7475eac1f8e9add0276ff,24,low_visibility,critical
55c258972acb4300a3a6077a531ab050,24,low_visibility,critical
b1303058fa624645b753d7283d70de45,24,low_visibility,critical
609d5177362340458a3bfd4949cd1e64,24,low_visibility,critical
7d82aa0c679141d1a71733b85fdcd3ed,24,low_visibility,critical
77fc24547ab34182a945eecb825b6576,24,low_visibility,critical
29e056fc277543c9bc42310b122c640e,23,low_visibility,critical
456ec36cb4a44ca78f36fbd90c0c34fa,23,low_visibility,critical
0af0feb5b1394b928dd13d648de898f5,23,low_visibility,critical
c9304cf98aad4ff0bb5b0cff0aab65d2,23,low_visibility,critical
baaa60749cd04db7952fd8f4ef8ac837,23,low_visibility,critical
61a7bd24f88a46c2963280d8b13ac675,23,low_visibility,critical
5b7cb170eee6468aa1fdbd3abcf63c5a,23,low_visibility,critical
44237858a539457da65822bfcf58c414,23,low_visibility,critical
a5afebb0aa5e4d7c95665788ce51ec58,23,low_visibility,critical
4b894442c95141f9affd731d9da7b43c,23,low_visibility,critical
648fe1aeca944fb793b334cb6ee01854,23,low_visibility,critical
d0ecf474e0e64950aa265cd44b9c9d75,22,low_visibility,critical
cc57c1ea80fe46a7abddfdb15654c872,22,low_visibility,critical
4cf5d6c3f6ab42aab23f67b5a9782d1a,22,low_visibility,critical
e426ccb3e7874894b16e06774ae5ec42,22,low_visibility,critical
0fa505e5dd804d3b9f9f076d23b28d6d,22,low_visibility,critical
8cd36e9531fb4eba8e6ac1d666c4641c,22,low_visibility,critical
9c7c7d5d109c40fcaecd3c422d37b4f6,22,low_visibility,critical
07175443e8444b8c8c4802fd004e33c1,22,low_visibility,critical
6cb024831cce4b6e8acf85afb7cece6e,22,low_visibility,critical
87e772078a494d42bd34cd16172808bc,21,low_visibility,critical
048a45dd2cf54aa5808d8ccc85731d44,21,low_visibility,critical
372725a4b00e49c78d6d0b1c4a38b6e0,21,low_visibility,critical
7bebe3c9be714f02837f8617c56df122,21,low_visibility,critical
e00dc15130dc44e796687baadd076ae4,21,low_visibility,critical
0915646e387b484785ae2b847ffdee2f,21,low_visibility,critical
95c0a92d52584756832ec795d346e296,21,low_visibility,critical
9e7683e8586542a1b6032980c45f15ce,20,low_visibility,critical
6bfd42cf0aba4f1a94ec11fa43e2dd92,20,low_visibility,critical
ed1eee39e3dd4c30a3d932e3ceaa92c2,20,low_visibility,critical
447c96d132e9494e8b03050e8dcae124,20,low_visibility,critical
d8251bbc2105497ab8ec80827d4429aa,20,low_visibility,critical
858a1ece22cf45d9bc71e42336604b78,20,low_visibility,critical
e63b83b436a0479db7362338cdfab118,20,low_visibility,critical
f5f955d2d7594fb4b18ef615b421c98e,20,low_visibility,critical
9ee4020153674b9e9943d395ff8cfdf3,19,low_visibility,critical
6402fd1ffaf041d0b9162bd92a7ba0a2,19,low_visibility,critical
c567f9b8e9f34817acdc9c49d791c557,19,low_visibility,critical
ac8b4d49731d43289579f014cb7c97ef,19,low_visibility,critical
f65ffdc408fb4a0c8ef0d1614b47dce8,19,low_visibility,critical
6d9984d09d52479e837da2fd09e192cc,18,low_visibility,critical
b9ea04a6121d4a8bb00199b885aa5ef0,18,low_visibility,critical
8e9c2cba0ee74056aa3746e8391d54a9,18,low_visibility,critical
edba7d0cf1c64d2a9c8a5ebddab507a9,18,low_visibility,critical
056becbc0d5a46da8d59eebddedb47bb,18,low_visibility,critical
8178cfbc864e4cb0b6e35746b32bed9f,18,low_visibility,critical
9fcdc52b791045e99c623c5fc643331f,17,low_visibility,critical
fdc39b23ab4242eda6ec5e1e6574fe33,17,low_visibility,critical
a771effa2a2648d78096c3e92b95b129,17,low_visibility,critical
8e352d4a6c6f40c8ad4f10a3d2c3f158,17,low_visibility,critical
3b594831ff7f4e27a9889c7b7d0d8e92,17,low_visibility,critical
d1136fce62f14400a069613e274f46f7,17,low_visibility,critical
3b594af1b130490989536590345c9dc9,17,low_visibility,critical
acf9fcbeb1e346b98640f694f15460e8,17,low_visibility,critical
281b92269fd648d4b52d06ac06ca6d65,16,low_visibility,critical
1c9a906c40f6417bbe1cea06d6e55501,16,low_visibility,critical
23799328f65843fc9e0c71f2bfbe90ef,16,low_visibility,critical
c5a8f6d7a0fe4858b318aeac2524098f,16,low_visibility,critical
c1eed31234b94e9f8e22fbf3428b0ac2,16,low_visibility,critical
273c930b3f384bd58b2bbae02fe81d1e,16,low_visibility,critical
fb61d590dd1143ccb12ea56fbe9d9d07,16,low_visibility,critical
1e0d1b76ea134c7db0592c4510f5e737,16,low_visibility,critical
ca9a282c9e77460f8360f564131a8af5,15,low_visibility,critical
ed5fc18c31904f96a8f0dbb99ff069c0,15,low_visibility,critical
0a0d6b8c2e884134a3b48df43d54c36a,15,low_visibility,critical
ce94ef7a0522468e81c0e2b3a2f1e12d,15,low_visibility,critical
38a28a3aaf2647f2a8c0e90e31267bf8,15,low_visibility,critical
f40544fd4f5d42abbcfa948eeaf86850,15,low_visibility,critical
728e3e32df3c413389cb7e233de96ac4,15,low_visibility,critical
841dd6709e9b4d7c9d6bf888f1fe6d7e,15,low_visibility,critical
ae5004bf4ebb4db0a84cb3c27bd398d1,15,low_visibility,critical
e54b784a608644a2804fcf800c7499f7,15,low_visibility,critical
a1289b27ca1d41deb6fc982be9a3d03c,15,low_visibility,critical
07c29094cb6144aa889c16c52f762d79,15,low_visibility,critical
b22fa0b3c34f47b6a360b60f35d5d567,14,low_visibility,critical
d7bea9a3552b40e29d42324108dff575,14,low_visibility,critical
cb4e6195faad467094fbd4d0a9e960e9,14,low_visibility,critical
a84f43c4ef52461d940a6c7d0768b86f,14,low_visibility,critical
e6b0b282aa174a978272dc2d0a89d560,14,low_visibility,critical
f753d3f87e5b40af87ff2cbf7c8e7082,13,low_visibility,critical
a98fba72bde9433fb882032d18aedb2e,13,low_visibility,critical
3ffc4360d1084e6eae5067e87d79503f,13,low_visibility,critical
8057958576034e51bac9bdc5740128d5,13,low_visibility,critical
e6e877f31dd447199b56cae07f86daad,13,low_visibility,critical
c69f16f8568a4479ab2f200c802309d9,13,low_visibility,critical
a401b5ee030547ab8678a563f13b4731,13,low_visibility,critical
a43568a562a043f38af0ec0b71520af7,13,low_visibility,critical
8bf071b1b92c4ff1bd5016bfb30de3f7,12,low_visibility,critical
05bc09f952ab4cf8b754405f20d503c5,12,low_visibility,critical
2578329fc3ae484bb23ef766808f4be5,12,low_visibility,critical
8d7dcd1533704f5882a5afcb65509ed5,12,low_visibility,critical
c36e8482feb041de9f081e76396cf4fe,12,low_visibility,critical
b6b0d9f2f2e14a3aaa2c8aedeb1edb69,11,low_visibility,critical
b7f64f73e8a548488e6d85d9b0e13242,11,low_visibility,critical
6dabc0fb1df045558f802246dd186b3f,11,low_visibility,critical
82597244941b4e79aa3e1e9cc6386f8b,11,low_visibility,critical
5991fad3280c4f84b331536c32001a04,11,low_visibility,critical
05e993bd780241aabaa30dd2a0473286,11,low_visibility,critical
cc0342fe162348dc9445493aab4b463e,11,low_visibility,critical
de7593d76648450e947ba0c203dee1b0,10,low_visibility,critical
ecd49e3c38624c77b8aac8df445d49ba,10,low_visibility,critical
a860c02c06e54d9dbe83ce7b694f6c17,10,low_visibility,critical
59bd7a9fae8a45bcb76f1847cf09e000,10,low_visibility,critical
9c56003504024697a5c8d1cb9355a335,10,low_visibility,critical
07fad91090c746ccaa1b2bdb55329e20,10,low_visibility,critical
b4ff30109dd14c89b24789dc5713cf8c,10,low_visibility,critical
9cdbf5ff7f294549aea0a4307e5d104a,10,low_visibility,critical
7f594234e8034228b1a7d727f1981e09,10,low_visibility,critical
92594549844e4f7da7a0e73e92945b2b,10,low_visibility,critical
1923316323b44b86b3389178fb026db6,10,low_visibility,critical
6832e717621341568c759151b5974512,9,low_visibility,critical
c59e60042a8643e899008da2e446acca,9,low_visibility,critical
0d0700a2284e477db876c3ee1d864668,9,low_visibility,critical
a0462df7186d4ca99ef58f455d53a42c,9,low_visibility,critical
ac452a60e8b34a7080c938c904b23057,9,low_visibility,critical
dde297c8e12f44c4bc2f2c80e49d2b5a,9,low_visibility,critical
b8766f4291d5449d95bab459ca724ad8,9,low_visibility,critical
35833ae5808e4ef186d1fdebac3d9cf6,9,low_visibility,critical
4ee219c4638949de9d994bc792fd0a69,9,low_visibility,critical
64134c75d5f547fdb4a6862b192f06cd,9,low_visibility,critical
9cc9718713c14974b5e3094e1c4eae1c,9,low_visibility,critical
f4f86af4da3b49e79497deda5c5f223a,8,low_visibility,critical
796b1988dd254f74bf2fb19ba9c5b8c6,8,low_visibility,critical
c5f58c19249d4137ae063b0e9ecd8b8e,8,low_visibility,critical
fa65a298c01f44e7a182bbf9e5fe3697,8,low_visibility,critical
5bbeb4e68d51413f81a370cb33ef27fb,8,low_visibility,critical
c4f9b75136384ec4a76c4adfc28b4259,8,low_visibility,critical
6873840fc1df4796a7b959e13e9fb78a,8,low_visibility,critical
e9a1c915c0d641d0b0a3019112a1ee90,8,low_visibility,critical
27900b9c3cfb48ed8b49087098d4a15a,8,low_visibility,critical
a572dd2e95e94e4db66bb5dbfaf870b5,8,low_visibility,critical
d2ae3c5bbb5343a393882b44d56f8da3,8,low_visibility,critical
17a9388ec4b04e028b4d07af2cc3a45c,8,low_visibility,critical
e10f8dcb73e646af840d9955a70a63d5,8,low_visibility,critical
dc4c80e8a1534ff8a3eb80307341161c,8,low_visibility,critical
b993550e60054741983f8052ba97b0b0,8,low_visibility,critical
3950bd41f74548429c0f7700ff3d8269,7,low_visibility,critical
8687ba92abd3406aa797115b874ebeba,7,low_visibility,critical
f5b8088835f247b8a5434a9f0daadc20,7,low_visibility,critical
37535cd306954669a2b21578573b93e3,7,low_visibility,critical
3a064c48e47b489a8b442b8081f877b6,7,low_visibility,critical
4d7cf1ad5f9c4842bb6f135e058deed4,7,low_visibility,critical
32e2619879854a83953c08ec8557f3bb,7,low_visibility,critical
dc03fe4e0a374592af7701c66d5276c4,7,low_visibility,critical
2021b6b367984ad7b18464a550d0ae8d,7,low_visibility,critical
4786b3c0d0a24c8b86b0676d32dd5919,7,low_visibility,critical
ac9af15d1aba4f5786877dde9f0b1c93,7,low_visibility,critical
3a7aa284dd9d485d8effc20db8cda140,7,low_visibility,critical
fe42b85d7f7a4107b650ffa993a4fbff,7,low_visibility,critical
6a9eb66eaac44de69c19d24b9d76e598,7,low_visibility,critical
1fc26189c2524ef396e5ce6cc210c1cd,7,low_visibility,critical
c18d3bcc9297454ba52112c079cb756e,7,low_visibility,critical
7147d8d1b51b428fb408f34799325111,7,low_visibility,critical
61cfc5554a724824b0d34bddc147d890,7,low_visibility,critical
2690c36281244c06b709e9f4eeb1317a,7,low_visibility,critical
c9e812f2705b4b198f4675dfaa33812d,7,low_visibility,critical
3e8750f331d7499e9b5123e9eb70f2e2,6,low_visibility,critical
747aa46b9a4641fe90db05d97db2acea,6,low_visibility,critical
700c1a25559b4433be532de3475e58a9,6,low_visibility,critical
4ae9c033164e4e01a0392672686d095c,6,low_visibility,critical
31812a5e8d514b5f8d2fbc50fc007475,6,low_visibility,critical
d3c0bbf933594f7184e20d761b6416f4,6,low_visibility,critical
c143943fd6e246448eab88ce1a0aeda9,6,low_visibility,critical
a51146d2b181450292623ec03ade9f03,6,low_visibility,critical
f218a2b4fa6941f7ac3798adc72126e8,6,low_visibility,critical
0106a9b8e65f4ad1867b44591aeed8b0,6,low_visibility,critical
dca2cc206bb34bc197ae8ebdaed22f35,6,low_visibility,critical
fe2a163b8948451b95fa48e21e1988ce,6,low_visibility,critical
17723c0411434e48875a93de4db0ecba,6,low_visibility,critical
b5989651183643369174912bc5641d3b,6,low_visibility,critical
7f87e737dad642d9aff78a7fe12ce194,6,low_visibility,critical
49dfd2f2fef447cc9b8dec3e17c1c919,6,low_visibility,critical
a5c0ec90615e42818962e4e002de0cef,6,low_visibility,critical
a480496a5988410fbe3d8ed6c84da996,6,low_visibility,critical
236f1ecb6ee7459d918cd011831674d6,6,low_visibility,critical
9bd27a83e6ee47f9aa372bbe8a8573c8,6,low_visibility,critical
050b2d9c4bb647b7ab4ee94bdb538e1d,6,low_visibility,critical
25a4a6aa9096458285cba35c950f2717,6,low_visibility,critical
0d6668bcb0644bbaaee81c17cc308845,6,low_visibility,critical
ace4b20b94cf47d0b68addac79fe68de,6,low_visibility,critical
8e5512a630dc44c08d3e3f692b34f808,6,low_visibility,critical
134ae8a8f5c340f9894a414fc0966af4,6,low_visibility,critical
b4c279e61abf49bd871ff2ec4b13e115,6,low_visibility,critical
93f4f8ac1145418cadcf14dfd2a9cf78,6,low_visibility,critical
d61ef2ae3bd54793b8beec55061940f0,6,low_visibility,critical
6f114ec641f8426399b69e844c0dfd62,5,low_visibility,critical
47188ae2bc8c4faf83c909b135701176,5,low_visibility,critical
313a60afcab5481a94a4815e0d1a6496,5,low_visibility,critical
7315022fc89147a6afc7f978601f8f38,5,low_visibility,critical
73e2b7fb98ef41aface277a968d65941,5,low_visibility,critical
c1676a2feac74eee8aa38ca3901787d6,5,low_visibility,critical
d6b0de49811b4d1b86a0933719c0c44a,5,low_visibility,critical
61d47d1198184bfdaa6777e9448d825d,5,low_visibility,critical
b2f333255d574bebb6f170beaab6a824,5,low_visibility,critical
264c5f3a04744d53a72fd07c1bb6a724,5,low_visibility,critical
269ccf1fe399403c914e1f649d2a8ca2,5,low_visibility,critical
feaef544d11646ed806b53d9e1f39cd9,5,low_visibility,critical
19f02e3faab4412988f28d419e1727fa,5,low_visibility,critical
7fd597745c26471ab336b3dd41a5f6dc,5,low_visibility,critical
0bb62a68055249e381b039bf54b0ccf8,5,low_visibility,critical
2e96e4ef43624c3d9ae8fd5526444fa8,5,low_visibility,critical
8c8755ebb0bf4c519416323acad6cea1,5,low_visibility,critical
384e26fb47f94faea344766bb26f987a,5,low_visibility,critical
7bf1cef0e253474e847ee4c2eb955901,5,low_visibility,critical
ee9b3f38dadd40588f43ba590c4751b9,5,low_visibility,critical
29796060110c4163b07f06eff4af0753,5,low_visibility,critical
ed2e7d24f2ad41abb3d37cd9a0ca8e89,5,low_visibility,critical
f2d48fe35d5646659dc339e1d36886f9,5,low_visibility,critical
5b77f438091b4d00a74d333ef2fe9033,5,low_visibility,critical
8cc06390249d4895b5b9b860f0952f24,5,low_visibility,critical
